Number;Title;Country;State;Location;PositionInFacade;
116;Site of De Soto’s Landing;USA;Arkansas;;1400;
117;Ludendorff Bridge;Germany;;;1300;
118;Town Hall, Saint-Lô;France;;;1200;
119;Omaha Beach;France;;;1100;
120;City Hall, Aachen;Germany;;;900;
121;Tower Gate, Aachen;Germany;;;800;
122;City Palace, Potsdam;Germany;;;700;
123;Mt. Tapochau;USA;Northern Mariana Islands;Saipan;600;
124;Bloody Nose Ridge;Palau;;Peleliu Ilsand;500;
125;Semenaire de Quebec;Canada;;Quebec City;400;
126;Pearl Harbor;USA;Hawaii;;300;
127;Kwajalein;Marshall Islands;;;200;
128;Orote Peninsula;USA;;Guam, Marianas Islands;100;
129;Luxembourg Palace;Luxembourg;;;90;
130;Anzio Beachhead;Italy;;;80;
131;Petrified Forest, Calistoga;USA;California;;70;
132;House of Commons;United Kingdom;England;London;60;
133;Fort Clatsop;USA;Oregon;;50;
134;Mosaic Hall, Reichschancellery;Germany;;Berlin;40;
135;Toyotomi Castle;Japan;;Osaka;30;
136;Mount Rainier;USA;Washington;;20;
137;Santa Maria Island;Portugal;;Azores;10;
138;Corregidor;Philippines;;;9;
139;Old Washoe County Courthouse;USA;Nevada;Reno;8;
140;Hans Christian Andersen Home;Denmark;;Odense;7;
141;The Mormon Temple;USA;Utah;Salt Lake City;6;
142;Craters of the Moon National Monument;USA;Idaho;;5;
143;Yellowstone National Park;USA;Wyoming;;4;
144;Petrified Forest;USA;Arizona;;3;
145;Aztec Ruins National Monument;USA;New Mexico;;2;
146;Mesa Verde;USA;Colorado;;1;
147;Boston Avenue Church;USA;Oklahoma;Tulsa;1;
148;Miraflores Locks;Panama;;Panama Canal;1;
149;Bethlehem;Palestine;;;1;
150;The Moon;;;;;
